HDI_group,GNI,GDI_group,MYS,MMR,ABR,SWSP
1,1885.32907,5,3.23,400,86.844,27.6353276
3,9942.855635,3,9.255580902,21,15.297,20.7142857
3,13054.30628,5,7.611,89,10.033,25.7425743
4,22049.59416,1,9.834001245,69,54.354,36.7781155
3,8123.557691,1,10.87,29,27.118,10.6870229
4,42260.61295,1,12.96338081,6,12.059,30.5309735
4,43869.2871,3,10.83443082,4,4.126,30.3278689
3,16427.91563,3,11.16,26,40,15.5737705
4,38598.50765,3,9.419,22,13.785,15
2,3191.497765,4,5.073080011,170,80.589,20
3,12487.58331,1,10.45693616,52,48.387,19.6078431
3,16676.09012,1,11.97681,1,20.599,30.1204819
4,41187,1,11.27326393,6,6.709,42.3809524
3,7613.90541,2,10.48802948,45,71.395,13.3333333
1,1766.947029,5,3.3,340,90.22,8.4337349
2,7175.502908,5,3.01,120,40.929,8.3333333
2,5760.078771,3,8.153532982,200,71.879,51.8072289
2,16646.22538,1,8.87,170,44.225,9.5238095
3,15174.96721,1,7.66,69,70.794,9.5959596
3,15596.02718,1,10.56554948,5,35.857,20.4166667
1,1590.697013,5,1.373855,400,115.408,13.3333333
1,758.1799101,4,2.686,740,30.256,34.9315068
2,2948.933581,5,4.36901,170,44.327,19.0217391
1,2803.413068,5,5.96,590,115.839,27.1428571
4,42155.00562,1,13.00416198,11,14.499,28.1725888
1,580.731815,5,4.224099,880,98.334,12.5
1,2085.338961,5,1.928899,980,152.015,14.893617
4,21290.1504,2,9.786924362,22,55.285,15.8227848
3,12547.03385,3,7.54,32,8.551,23.6228456
3,12040.24866,1,7.349983663,83,68.537,20.8955224
1,1455.776688,5,4.601552,350,51.125,3.030303
2,6011.708112,4,6.09,410,126.725,11.5384615
1,680.4713129,5,6.01,730,135.3,8.1666667
3,13413.37683,2,8.367648125,38,60.794,33.3333333
1,3171.289313,5,4.26,720,130.256,9.1633466
4,19409.48589,1,11.02670097,13,12.736,25.8278146
3,7301.039053,2,11.51362,80,43.085,48.8562092
4,28632.73467,2,11.61928463,10,5.473,12.5
4,26660.2795,1,12.32,5,4.906,18.86121
4,44025.48217,1,12.72938824,5,5.101,37.9888268
3,11882.70471,1,7.56,100,99.588,19.0697674
3,10604.89264,1,7.585,87,77.032,41.6058394
2,10512.42422,5,6.55,45,42.965,2.1802326
2,7349.48103,2,6.514523029,69,75.979,27.3809524
4,25214,2,12.48,11,16.779,19.8019802
1,1427.671464,5,2.412325859,420,78.37,25.5131965
3,7492.511041,3,9.91218949,59,42.847,14
4,38694.76981,1,10.286,4,9.211,42.5
4,38056.35627,1,11.13314915,12,5.736,25.7297297
1,1507.327346,5,2.82,430,115.826,9.4339623
3,7164.025639,2,12.11,41,46.799,11.3333333
4,43918.53597,2,13.06677702,7,3.795,36.8571429
2,3852.00413,5,6.999,380,58.396,10.9090909
4,24524.14614,2,10.26,5,11.859,21
2,6929.192667,3,5.599730015,140,97.224,13.2911392
1,1095.756085,5,2.417763,650,130.994,21.9298246
2,6521.655155,1,8.533,250,88.484,31.3432836
2,3937.700893,3,5.482227802,120,83.964,25.78125
4,22915.76394,1,11.63608,14,12.127,10.1010101
4,35182.11477,1,10.59,4,11.488,41.2698413
2,5497.498571,5,5.39,190,32.799,12.2137405
2,9788.425338,3,7.5877435,190,48.328,17.1171171
3,15439.80435,5,8.17,23,31.614,3.1034483
2,14003.21961,5,6.38,67,68.667,26.5243902
4,39568.12085,2,12.2,9,8.236,19.9115044
4,30675.51109,2,12.54470158,2,7.819,22.5
4,33030.22947,2,10.10184065,4,3.957,30.0736067
3,7414.602613,1,9.67,80,70.057,16.6666667
4,36926.91669,2,11.52,6,5.412,11.5760112
3,11365.21619,5,9.908419609,50,26.473,11.5555556
3,20867.35416,1,11.42,26,29.946,20.1298701
1,2761.602872,4,6.27,400,93.608,20.8133971
4,33890.45203,3,11.89,27,2.242,16.3333333
4,83960.61817,2,7.206958294,14,14.475,1.5384615
2,3044.232413,2,10.58696477,75,29.264,23.3333333
4,22280.51382,2,11.47896866,13,13.522,18
3,16509.27721,5,7.917283708,16,11.978,3.125
1,3305.904662,2,5.874752222,490,89.43,26.7973856
1,804.9491373,5,4.09,640,117.425,10.6796117
3,14910.916,2,7.31,15,2.523,15.9574468
4,24500.31387,2,12.38313007,11,10.612,23.4042553
4,58711.39454,2,11.71397591,11,8.349,28.3333333
1,1328.268516,3,6.046865,440,122.842,20.5298013
1,747.3318516,4,4.29,510,144.815,16.6666667
3,22762.13945,3,9.964879036,29,5.676,14.2348754
3,12328.39411,3,5.842967389,31,4.177,5.8823529
1,1582.992166,5,2.04498744,550,175.579,9.5238095
4,27930.29827,3,10.33,9,18.193,13.0434783
1,3560.120094,5,3.77,320,73.303,22.1674877
3,17469.7784,2,8.542904854,73,30.898,11.5942029
3,16055.96891,3,8.468326569,49,63.39,37.1019108
2,5223.032475,1,11.1860714,21,29.268,20.7920792
3,10729.38361,2,9.28,68,18.706,14.8648649
4,14558.13363,2,11.15878201,7,15.2,17.2839506
